step,g_scalar,accum_norm,ema_grad_norm,loss_pos,loss_neg
171,38240.8711,100.0000,22.9420,177.5507,101.0689
172,22054.0508,100.0000,22.9444,159.8955,115.7874
173,1049.9916,100.0000,22.9463,61.3727,59.2728
174,-34285.4805,100.0000,22.9468,119.9316,188.5026
175,7282.4326,100.0000,22.9470,115.2025,100.6376
176,9917.0000,100.0000,22.9454,137.1927,117.3587
177,38019.7969,100.0000,22.9425,311.4738,235.4342
178,3582.2964,100.0000,22.9427,39.1590,31.9944
179,-164.9704,100.0000,22.9413,65.4565,65.7865
180,17949.4316,100.0000,22.9410,101.3241,65.4252
181,-3953.2109,100.0000,22.9403,56.3848,64.2912
182,83082.1953,100.0000,22.9445,313.6501,147.4857
183,-13032.7373,100.0000,22.9431,91.2346,117.3000
184,865.7780,100.0000,22.9465,63.6435,61.9120
185,1505.7640,100.0000,22.9483,59.2782,56.2667
186,2136.1714,100.0000,22.9467,37.0568,32.7845
187,2583.9539,100.0000,22.9456,32.6079,27.4399
188,-3378.8396,100.0000,22.9400,35.5076,42.2653
189,-8829.3418,100.0000,22.9390,55.0329,72.6916
190,18372.1230,100.0000,22.9389,251.0703,214.3260
191,-9425.1289,100.0000,22.9393,49.8326,68.6828
192,1613.9451,100.0000,22.9410,76.2135,72.9856
193,-3160.9038,100.0000,22.9408,69.1733,75.4951
194,1507.4644,100.0000,22.9416,30.1473,27.1324
195,-73802.0781,100.0000,22.9393,111.7173,259.3214
196,-11895.0596,100.0000,22.9367,55.1231,78.9132
197,558.9323,100.0000,22.9359,30.1838,29.0659
198,30548.0996,100.0000,22.9326,165.8708,104.7746
199,21440.9980,100.0000,22.9322,150.5554,107.6734
200,903.1715,100.0000,22.9337,81.5752,79.7688
201,-658.8802,100.0000,22.9338,32.1929,33.5107
202,-28482.6777,100.0000,22.9356,62.2647,119.2300
203,-97431.3906,100.0000,22.9367,99.1433,294.0061
204,-25717.9727,100.0000,22.9366,219.9070,271.3430
205,6934.2231,100.0000,22.9400,134.4465,120.5781
206,15059.3945,100.0000,22.9396,282.7245,252.6058
207,2067.1863,100.0000,22.9409,53.5137,49.3793
208,-3236.1985,100.0000,22.9420,64.3791,70.8515
209,391.0999,100.0000,22.9421,38.0252,37.2430
210,6666.3857,100.0000,22.9414,51.9186,38.5859
211,-5739.4409,100.0000,22.9410,39.5160,50.9949
212,-19362.9375,100.0000,22.9386,66.7345,105.4604
213,-800.9319,100.0000,22.9415,40.1832,41.7851
214,54.3785,100.0000,22.9388,73.5821,73.4734
215,-12139.9307,100.0000,22.9401,48.5190,72.7989
216,-1261.1942,100.0000,22.9410,29.6498,32.1722
217,17286.4688,100.0000,22.9465,100.4764,65.9035
